微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HzSvY1vvl,院子里写代码，三只小鹿在旁边玩耍。  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/6fc85a2fly1g48e0mx7e6j23402c0e86.jpg,http://ww3.sinaimg.cn/large/6fc85a2fly1g48e0qm7alj22pi2151ky.jpg",无,2019-06-21 06:43,Android客户端,40,5,11
HzSpwu6W3,给院子割草是件农活。割草机有一个收集袋，割一会就满了，如果不马上清空割下的草就会拌住草刀，机器就会熄火。隔壁 Victor 见我满头大汗，就告诉我其实可以把收集袋去掉，一路畅快地先割，然后再回头把割下来的草统一收集。确实管用，原来要停下来清理好多次，两个小时的农活，现在半小时就结束。  ,无,无,2019-06-21 06:27,Android客户端,9,9,8
HzSjBsQS8,岛上 Courtenay 的一对华人老夫妇，是早先甄别移民加拿大的越南难民。刚来时因为没什么特长，就以帮居民打扫卫生为生，大家都非常照顾他们。时间长了后，便有人在度假时把房子托给他们照看，时间更长了后，他们常年手上有几十把钥匙。儿女长大后都上了大学，有很好的工作。#WorldRefugeeDay#  ,无,无,2019-06-21 06:13,Android客户端,12,3,1
Hzz4O6AQ1,我快到听风扇的声音就知道出了什么 bug 的境界。  ,无,无,2019-06-19 05:14,微博 weibo.com,29,13,7
Hzgyuzsiz,三只小鹿又来到了院子里，这次牠们的父亲留在了隔壁静静看着。玩耍了好一会后，有两只成功跳过是牠们身高两倍的栅栏回到了父亲身边。最后一只在努力助跑、起跳很多次后也终于越过了栅栏。 邓草原的秒拍视频  ,无,无,2019-06-17 06:05,Android客户端,21,9,5
Hz9zJfKU8,老背包之 Altus Spain  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fly1g42vlx5b4jj22c0340npe.jpg,无,2019-06-16 12:19,Android客户端,5,1,4
Hz0KMB5BH,黄昏的球场和远处的雪山  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fly1g41so1ssacj21400u0jua.jpg,无,2019-06-15 13:51,Android客户端,10,1,1
HyRDuznmJ,Yes!  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fly1g40ofczi5ij20l40kzaww.jpg,无,2019-06-14 14:39,Android客户端,7,0,2
HxOcKtTdL,把栅栏可能的缺口也加上网后，鹿还是进来了，主要是去年出生现在长高了的一只。最想不通的是，有一只还带着三只小朋友、身上有梅花的，今天晚上也来到了院子里。我知道鹿原地弹跳能蹦一米多高，但这几只不到半米高的小鹿又是如何进来的呢。刚种的香椿树叶子都吃光了，葱也都没了......  ,无,无,2019-06-07 16:04,Android客户端,5,1,7
HxBNpjDCO,我绕道回来了  ,无,无,2019-06-06 08:29,Android客户端,5,0,1
HxgdLgEty,院子里所得之有趣想法。LSM 索引的 RocksDB 写强、随机读弱；BTree 的 LMDB 写弱、随机读强。SSD，32G RAM，值 1024 bytes，键 32 bytes，键是值的哈希，5 千万记录随机读写。RocksDB：写 6485/s，读 604/s；LMDB：写 1300/s，读 5539/s。但是 - 有趣的想法（LMDB）：写 2700/s，读 5897/s。有意思。  ,无,无,2019-06-04 01:33,微博 weibo.com,10,15,7
Hxg9zwnnt,发不出去  ,无,无,2019-06-04 01:23,Android客户端,6,3,0
Hx2gPnrXr,我到现在还订阅着 NetBSD 的邮件列表，可能是因为它的邮件量少。  ,无,无,2019-06-02 14:02,微博 weibo.com,2,0,0
Hx1mFlPQ9,在院子里走了几圈，又冒出来一个有趣的想法，今天验证一下。（关于存储的）  ,无,无,2019-06-02 11:44,Android客户端,11,1,2
HwP1azq7v,如果我们认定每类（项）业务都应该有自己的独立（区块）链 - 它们可以基于同样的协议 - 那么所谓分片就变得简单许多，因为重点变为状态的分片。这比一条公链上跑所有的业务然后考虑链本身的分片简洁了很多。  ,无,无,2019-06-01 04:18,Android客户端,8,3,9
HwKbPABsF,不知是不是年纪大了。这几天在网上看到些几十年前的照片，就掉眼泪。  ,无,无,2019-05-31 16:01,微博 weibo.com,16,6,4
HwJe2liJO,你看，我就是这么有耐心，测了一星期的数据了，现在还是没有把握，甚至可能是无用功。 加拿大  显示地图 ,无,加拿大,2019-05-31 13:33,Android客户端,10,0,1
Hwg61a8RR,小川上在学校的画  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/6fc85a2fly1g3gv90pf3sj22io1w0x6p.jpg,http://ww3.sinaimg.cn/large/6fc85a2fly1g3gv93k5myj21w02iohdt.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g3gv96csrdj22io1w0npd.jpg",无,2019-05-28 11:24,iPhone客户端,11,0,1
HvWarrbLl,冰球棍、潜水脚蹼和棒球手套一起上场  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fly1g3efa8zkglj20u0140hdt.jpg,无,2019-05-26 08:40,iPhone客户端,14,0,1
HvAsodcac,很多人都愿意讲真话。只是有些人的真话忽然上了电视台，只是有些人的真话上了电视台后没准哪天又成了批判和改造的对象。  ,无,无,2019-05-24 01:24,iPhone客户端,14,4,1
HvkhSFTmO,自从我在栅栏上加了网后，鹿已经一年多没进来了。这几天却时不时出现在后院，最多的时候是一家四口两大两小。我就纳闷它们从哪进来的，结果它们自己都找不到出（入？）口，每次都要我打开栅栏门才出去。另外，那只原本已经在小木屋底下安家的浣熊最近倒是不见了，可能被哪里的异性浣熊拐走了。  ,无,无,2019-05-22 08:14,微博 weibo.com,26,0,0
HvinBa3wi,刚刚想到，既然 key 是 value 的 hash，那么在将这条 kv 存到存储时其实并不需要存 key。当然，事先已经生成好了一条对应的索引记录，在读数据时，取到 value 后重算一下 hash 得出来 key，就可以校验这条 kv 了。  ,无,无,2019-05-22 03:22,微博 weibo.com,5,8,7
HuU4r9gyF,遇到个问题。ETH 该笔交易 http://t.cn/E9POIL4 的完成状态被标为 Failed，原因是 Out of Gas，但在 Khipu 中却是正确的。我仔细跟踪执行过程，在第 118 步的 CREATE2 指令执行后， Geth 的 gas 还剩下 1457 http://t.cn/E9POILb ，但 Khipu 却剩 84278 （见图）。为什么我觉得我是对的？  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fly1g36kb139l4j21gz08vn4d.jpg,无,2019-05-19 13:29,微博 weibo.com,8,5,1
HuKdQ7Vv3,Kesque 的索引大致是 4 Bytes Hashed Key + 4 Bytes Data Offset，若简单地将这个索引交给一个 BTree 的 kv db，所需的缓存内存仍然是非常大。只是，现在我的实现，每 1 亿记录也要 1G 的内存来保存索引。当这个记录数大到 10 亿时怎么办呢？我可以妥协一些性能来换取小点的内存，但需要保持近 O(1)。  ,无,无,2019-05-18 12:25,微博 weibo.com,5,4,0
HuK8avXxo,为性能，BTree 索引的内节点最好都缓存在内存里。那么需要多少内存来装载这些内节点呢？以 Berkeley DB 为例，对于 3 亿条数据，4 Bytes 的 Key，这个数量是 7G，如果连同页节点（4 Bytes 的 Data），这个数量是 9 G。Kesque 的索引 (4 Bytes Key + 4 Bytes Data）则是 3G 左右，但代码写得我很头疼。  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1g35c1w4jh3j20kp07kgm5.jpg,无,2019-05-18 12:11,微博 weibo.com,18,11,4
HuAvxiTRT,我好像想到了一个更好的保存以太坊状态数据的存储引擎？可以让 Khipu 的内存占用大大降下来。  ,无,无,2019-05-17 11:41,iPhone客户端,15,1,0
Hurz5xfmD,一栋新的船屋正在驶往维多利亚的渔人码头（图一）。另一栋正在出售的船屋报价是 54.9 万加币（图二到图九）。  [组图共9张] 原图 ,"http://ww2.sinaimg.cn/large/6fc85a2fly1g332g8txeaj20yo0q9wib.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g332gcpbjjj20sg0iygoe.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go1zi6j20sg0iy0ue.jpg,http://ww1.sinaimg.cn/large/6fc85a2fly1g332gnzu8tj20sg0iytar.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go8njvj20sg0iywge.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go5kzzj20sg0iywh1.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go57wij20sg0iyq5e.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go1c3wj20sg0iydi3.jpg,http://ww3.sinaimg.cn/large/6fc85a2fly1g332gon85xj20sg0iymzl.jpg",无,2019-05-16 12:55,微博 weibo.com,11,3,12
HunnSBbnT,目前的“全球化”是一个幌子，它只能提供资本和商品自由流动的框架，而最重要的要素-人-则不能。因此与人捆绑的法律、人权及环境差异就永远不能驱平，而这就成为了一个无法提升或抑制的竞争要素。现在发生的一切是对此的反正。全球性的 WTO，其立足点并不成立，同一性区域内的贸易自由会更加得以确立。  ,无,无,2019-05-16 02:17,iPhone客户端,26,23,3
HugknE9eO,"霸道 - Dallas Road, Victoria, BC (拍摄 Joanne Green)  原图 ",http://wx4.sinaimg.cn/large/6fc85a2fly1g31ous8ihvj21400u0ayl.jpg,无,2019-05-15 08:19,微博 weibo.com,1,0,1
Hu5ip0jrd,很多年前参与大学辩论赛时就深深体会到，口号比逻辑对听众更重要。好在那时的评委还懂得并站在逻辑的一边。  ,无,无,2019-05-14 04:14,iPhone客户端,12,11,0
