微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
F7GBD2DXj,[置顶]“大局观”是一个很冠冕堂皇的词儿。然而“大局”是相对的。比如乡长教育村长说要有“大局观”，实际上乡长说的“大局”很可能只是乡长自己的小局，并不是国家大局，甚至都不是县里的大局，只是对村长来说是“大局”而已。  ,无,无,2017-06-13 23:27,无,252,72,41
HAqx6uKOe,有人说他刚交了一个女朋友，但三个月来两人交往的消费全都是他在掏钱，问这种情况是否值得继续。我帮他算了一笔账：1、请的人和你差异较大。比如你请迪丽热巴吃饭看电影，虽然花费了 n。而她陪你看电影吃饭本身就价值 m，且 m 远大于 n。这时你获得了 m-n，赚了。这种情况，值得继续。2、请的人和你差不多。她陪你看电影吃饭的价值 m 小于 n。这时 m-n 为负值。但如果这个投入能让你获得其它的东西，比如两人关系的明显进展 x，而 m-n+x 为正值，那还是值得的。3、如果请的人和你差不多，且三个月来两人关系没有任何进展，手都没拉上，那么你可能被一个东食西宿爱好者给东食了。这种情况下就不值得继续了。                                 ,无,无,2019-06-24 21:19,HuaweiPhone客户端,75,28,38
HAqcUsOrQ,12 岁到 22 岁这个 10 年无比漫长，又无比重要。  ,无,无,2019-06-24 20:30 ,微博 weibo.com,214,59,46
HAorL7weC,这书前几个月马伯庸推荐过。我当时去卖旧书的网站看，还是上下两册一百元左右。但以我和书贩子打交道二十多年的经验，知道很可能对方不会按这个价钱卖了，于是分别在两家下了两份订单。然而最后两家都告诉我“没货”了。因为那几天这书被炒到了五百元。但是以我和书贩子打交道二十多年的经验，我知道这事儿不用着急。果不其然，这个月我就以一百元的价钱买回来了。                  原图                             ,http://wx1.sinaimg.cn/large/53899d01ly1g4cazl4q2rj22c02c0b29.jpg,无,2019-06-24 16:01 ,HuaweiPhone客户端,131,20,48
HAo4yl6oN,我是做具体技术研究的，不太搞理论，但这些年在外演讲时也梳理过两个概念。一是“耦合型安全问题”，二是“全时视野：设计时、开发时、编译时、运行时”。cURL Windows OpenSSL 引擎代码注入漏洞（CVE-2019-5443） 本身不算特别危险，但恰好把这两个概念都匹配上了。首先，这个漏洞属于耦合型安全问题——既不是 cURL 的问题，也不是 OpenSSL 的问题，而是两者结合点上的问题。同时，这个漏洞的关键点并非产生自源码，而是由编译脚本引入的。所以这是一个很好的谈编译器、编译环境、编译选项引入安全隐患的例子。细节都在这个 commit 里，想了解细节的可以自己看：http://t.cn/Aipo5LiR                                 ,无,无,2019-06-24 15:03 ,微博 weibo.com,79,46,12
HA6duiqHD,在任何国家，政府的目标都是维持社会运转，不是追求正义和道德。而执法部门作为政府对内的主要暴力工具，其目标是维持治安，不是维护法律。想明白这一点，可以解开很多疑惑。  ,无,无,2019-06-22 17:36,微博 weibo.com,815,419,183
HA4Hfcnfn,人类的情感过于丰沛，很容易泛滥到各种身外之物上。所以不以己悲固然要求太高，其实不以物喜也很难。但只要稍微收一收情感，稍微用一点逻辑，有些简单道理还是能想明白的……  [组图共3张] 原图 ,"http://ww2.sinaimg.cn/large/53899d01ly1g49vrt70glj20qy146q8z.jpg,http://ww2.sinaimg.cn/large/53899d01ly1g49vru6mscj20qu1257ad.jpg,http://ww4.sinaimg.cn/large/53899d01ly1g49vrtyvndj20qq164gt3.jpg",无,2019-06-22 13:44,HuaweiPhone客户端,239,147,135
HA3Rs8apX,这些年，加利福尼亚、澳大利亚这些地方一直在不遗余力地弱化传播性病罪。台湾当局去年修订《刑法》则干脆把故意传播性病罪这条给去掉了。把强制治疗的规定也删除了。太积极了，都撵到课代表前头去了。官方给出的说辞是将用伤害罪来代替传播性病罪，“传播性病罪最多判一年，伤害罪最多能判五年呢”。让老百姓觉得这个改动仿佛加重了处罚力度。五是不是大于一？你看，是不是很简单就理解了？但是，伤害罪是根据伤害的鉴定结果来定罪量刑的。而传播性病罪是只要实现了传播，就可定罪。按伤害罪来的话，淋病怎么定？梅毒怎么定？艾滋这种伤害情况几十年后仍可能有变化的怎么定？所以老百姓是很好糊弄的。                                 ,无,无,2019-06-22 11:36,微博 weibo.com,116,54,37
HA2X9aAZw,一个十几年前就该判死刑的人，现在才被抓，就不止是多活了十几年的问题。这种情况，在判的时候会考虑其犯罪是在十几年前。所以如果当初会判死刑的，现在就不一定了。“迟到的正义是不是正义”这个问题，可以参考馒头片是不是馒头。  ,无,无,2019-06-22 09:18,HuaweiPhone客户端,286,107,83
HA2S1drzJ,早年我认为是中国的问题。后来发现其实是人类的问题。人类为什么会这样？我又琢磨了很久，慢慢觉得只要是这套宇宙参数，演化出来的玩意儿可能都这样。  ,无,无,2019-06-22 09:05,HuaweiPhone客户端,336,110,57
