微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
FBTHG8ZuL,老爸发来张我初中 80 周年校庆的照片，一头灰发的现任校长竟是当年满脸青春痘的物理老师。照片不知道有没有美过颜，一脸嫩白丝毫看不出当年斑驳的痘痕。  ,无,无,2017-12-29 15:57,微博 weibo.com,5,1,3
FzUcCmbd3,42” 的显示器写代码有点儿太大了，亲测…  ,无,无,2017-12-16 13:32,微博 weibo.com,3,1,13
FnPQVxHFZ,祝你生日快乐  ,无,无,2017-09-28 04:24,生日动态,12,0,4
FgzwUnLmK,Shanghai Apache Spark Meetup第十三次聚会 http://t.cn/R9Rd1eD  由英特尔和银伞数据学城（Datumb）共同主办。座位有限，报名从速！  ,无,无,2017-08-11 09:59,Weibo.intl,4,2,0
F9y5TEPp3,上周 team lunch，回程路上看到一个拎包的美国大爷。背后望去，全身上下除了鞋袜，不着寸缕。后来拐弯过马路时才注意到好歹下身前方还是遮挡了一下。该大爷走在街上面不改色，除了衣着，跟寻常路人别无二致，旁人竟也毫无反应。不过同行的美国同事看到后也还是相当惊讶的。三藩真是个神奇的城市啊…  ,无,无,2017-06-26 05:27,微博 weibo.com,4,0,5
F7C1dzZdM,Spark Summit 2017 视频已在 YouTube 上线（请自备天梯） http://t.cn/RSrff5A  ,无,无,2017-06-13 11:46,微博 weibo.com,9,11,1
EDZ57dB82,@RednaxelaFX Welcome!!!  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/7045e02dgy1feijaql44aj20w80jmtpi.jpg,http://ww3.sinaimg.cn/large/7045e02dgy1feijatoutfj20fm0pyth1.jpg",无,2017-04-11 10:35,微博 weibo.com,24,27,10
EDoXF9vlK,MOOC: Introduction to programming with dependent types in Scala http://t.cn/R6rHRqU 讲师的口音里好像隐约有股亲切的东北大碴子味儿   ,无,无,2017-04-07 14:37,微博 weibo.com,4,6,0
EncChDfZX,Ocean Oriented Programming  原图 ,http://ww3.sinaimg.cn/large/7045e02djw1fayxx9sz7vj21kw16o4c6.jpg,无,2016-12-22 01:47,手机微博触屏版,24,1,3
EdxAbqhEm,今天一个欧洲的游戏开发者联系我，说我的一个用 Boost.Asio 写的 C++ 异步 MySQL 客户端库很好用。然而这个库是我七年前练手写的，从来没维护过，没有文档，连 README 都没，我自己都从来没在任何正经项目上用过它，竟然被评价 amazing… 重点是，这样状态的一个库，哥们儿你们竟然敢用在生产上！  ,无,无,2016-10-19 12:46,微博 weibo.com,43,11,12
EbHOhlXwN,开启 Google 街景远程看房模式。  ,无,无,2016-10-07 11:08,微博 weibo.com,6,0,10
EbiGHgJb8,恭喜来自 IBM 的李潇 @smilegator 成为 Spark committer！一年多来，他在 Spark SQL 方面作出了非常活跃的贡献。  ,无,无,2016-10-04 19:10,微博 weibo.com,18,4,4
EaHIIALuC,NetHack 真是编译、测试、benchmark 最佳伴侣游戏。尤其是资源消耗几乎为零，对本地跑的 benchmark 结果根本没影响。  ,无,无,2016-09-30 21:04,微博 weibo.com,3,5,0
E3uKZiYGk,08 年 3 月到 16 年 8 月：中关村半年，上地三年半，赋闲一年，知春里一年，在家和星巴克远程办公两年半。北漂 8 年多，昨天终于画上句号。  ,无,无,2016-08-14 11:12,微博 weibo.com,85,17,41
E0Vvugimt,Github Major Service Outage http://t.cn/RttjCVW  原图 ,http://ww1.sinaimg.cn/large/7045e02dgw1f69km3w3cuj20sg0j4aeo.jpg,无,2016-07-28 13:47,微博 weibo.com,1,0,6
E0b5an0rY,由于经常需要并行开发多个 Spark 分支，过去两年多一直是 clone 多个本地 repo，浪费空间不说，多个 repo 间同步也不方便。今天彻底切换到 Git worktree，方便多了：多个本地工作目录各自 checkout 不同分支但又同属一个 repo，省去了同步问题。最赞的是新版本的 IDEA 也支持 worktree 了。  ,无,无,2016-07-23 15:35,微博 weibo.com,19,6,4
DyTXDDJfb,心血来潮在家下星际 II 下到一半忘了关，在 UCB 校内竟然下载速度到 30+ MB/s，这网络真是太良心了，不愧是 socket API 诞生地啊  ,无,无,2016-06-06 01:37,微博 weibo.com,15,0,8
DwN0DfTBR,在电话里给老外客服报 email 实在是太痛苦了，报十遍都听不对。于是好好学了下这个 ICAO/ITU/NATO Spelling Alphabet http://t.cn/R57HnPo  ,无,无,2016-05-23 04:14,微博 weibo.com,12,5,5
Du9kxskpH,没想到周末随手放到 GitHub 上的 EoPL3 的作业还有人帮我订正   ,无,无,2016-05-05 19:33,微博 weibo.com,6,1,1
DtPDmsZBy,改了一个 typo，然后 test 挂了，原来是从 Hive 里“继承”下来的 typo  http://t.cn/RqHs3jp  ,无,无,2016-05-03 17:24,微博 weibo.com,5,0,2
DsN5pjCvq,自打在知乎和 Twitter 上 follow 了几个技术圈的 90 后，timeline 上每天都有大概 1/5 是各种二次元和 gal game 内容   ,无,无,2016-04-26 21:05,微博 weibo.com,11,2,10
Ds0VCmxK9,2016 年中国 Spark 技术峰会将于 5.15 在北京召开。我和两位 Databricks 的同事，Spark 开源软件栈 PM 及 Spark PMC 成员 Ram，还有 Spark committer 范文臣 @cloud__fan 将和大家分享 Spark 2.0 的最新进展。欢迎参会！大会主页 http://t.cn/RqCJK4E 议题介绍 http://t.cn/RqCqUNO  [组图共3张] 原图 ,"http://ww3.sinaimg.cn/large/7045e02djw1f34i1dz8klj20ci0m8gn6.jpg,http://ww1.sinaimg.cn/large/7045e02dgw1f34i1c2ytej20ku112aex.jpg,http://ww1.sinaimg.cn/large/7045e02dgw1f34i1nchorj20ci0m875u.jpg",无,2016-04-21 18:29,微博 weibo.com,20,33,5
DooMeF5AV,被 GFW 折腾到吐血，万般无奈之下祭出 GPG  ,无,无,2016-03-28 23:50,微博 weibo.com,2,0,4
Db03GyfyA,2015 年最后一个 PR http://t.cn/R4MHFeO 把 Spark SQL 的 logical plan 转回 SQL query string。第一个版本还非常糙，不过想像空间还挺大的 :)  ,无,无,2015-12-31 21:01,微博 weibo.com,4,2,4
D7jPDD98V,北京再次重度雾霾橙色预警。快圣诞了，全北京人民 cosplay 圣诞老人爬烟囱。  ,无,无,2015-12-07 16:00,微博 weibo.com,1,1,4
D6J6K8GMx,近期几次发现 rMBP 插着电源却不充电，一路跌倒 5%，然后降频，系统速度明显减缓。查了一圈，貌似是因为总开着 IDEA、SBT、Hadoop 导致机器过热，于是就不充电了… 停下来歇会儿，就回到 6%，一干活又跌   ,无,无,2015-12-03 18:30,微博 weibo.com,1,1,13
CyHtQrgyA,两年没写 C++，原来 C++ 都有 dependency management tool 了 http://t.cn/RyA4TUc  ,无,无,2015-09-02 19:06,微博 weibo.com,4,41,11
CxErwrijT,gist.github.com 疑似被 SSL 劫持了，翻墙则无碍。拜托劫持也劫持得专业一点好嘛，被 Firefox 嘲弄了：An error occurred during a connection to gist.github.com. The server certificate included a public key that was too weak.  ,无,无,2015-08-26 21:32,微博 weibo.com,8,7,2
Cxu01aGht,GitHub 半天打不开，于是查了下 status： > 18:38 CST The connectivity problems have been identified as a DDoS attack. We're working to mitigate now.  ,无,无,2015-08-25 18:56,微博 weibo.com,4,36,1
CwKj2xPI9,算起来，修 Spark SQL 的 Parquet 支持修了有大半年了。今天又查出一个兼容性的 corner case，突然想起卡勒波特这幅刨地板工人，简直太适合拿来做工作总结   原图 ,http://ww4.sinaimg.cn/large/7045e02dgw1ev9gbpiwwej20hs0ciwfn.jpg,无,2015-08-20 22:37,微博 weibo.com,12,7,8
Cw7Fzx6c5,借助 ptpython 三个命令实现终端下 PySpark 代码高亮和代码补全：pip install ptpython; export PYSPARK_DRIVER_PYTHON=ptpython; $SPARK_HOME/bin/pyspark  ,无,无,2015-08-16 20:15,微博 weibo.com,8,20,4
CvGTH2q5g,最新的 Spark JIRA number 是 9940，估计后天就能看到 SPARK-10000 了   ,无,无,2015-08-14 00:06,微博 weibo.com,9,4,1
